trueloc,idall,id1,id2,id3,id4,  seall,se1,se2,se3,se4,  zall,z1,z2,z3,z4,  zzall,zz1,zz2,zz3,zz4
 2.661 , 4.955 , 3.128 , 3.461 , 3.776 , 3.552 , 1.844 , 1.914 , 1.934 , 1.905 , 1.862 , 0.101 , 0.238 , 0.226 , 0.241 , 0.169 , 0.002 , 0.009 , 0.017 , 0.007 , 0.003
 0.196 ,-0.464 ,-0.726 ,-2.393 ,-0.785 , 0.524 , 0.440 , 1.045 , 1.894 , 0.994 , 0.736 ,-0.007 ,-0.033 ,-0.247 , 0.064 ,-0.051 , 0.869 , 0.388 , 0.004 , 1.288 , 1.268
 1.722 , 2.928 , 3.174 , 1.157 , 2.568 , 3.980 , 0.769 , 1.993 , 1.006 , 1.893 , 1.872 , 0.021 , 0.218 ,-0.003 , 0.246 , 0.162 , 0.759 , 0.025 , 0.966 , 0.004 , 0.005
 1.593 , 2.459 , 3.118 , 3.983 , 1.483 , 1.374 , 0.654 , 1.885 , 1.917 , 1.238 , 0.878 , 0.031 , 0.245 , 0.236 , 0.091 , 0.051 , 0.726 , 0.004 , 0.011 , 0.295 , 0.582
 2.994 , 1.364 , 2.950 , 0.301 , 0.989 , 1.406 , 0.535 , 1.936 , 1.016 , 1.210 , 0.824 ,-0.041 , 0.236 ,-0.057 ,-0.086 , 0.031 , 1.244 , 0.012 , 1.063 , 1.464 , 0.840
 1.173 , 1.245 , 0.626 , 0.810 , 0.669 , 2.494 , 0.501 , 0.925 , 1.168 , 0.987 , 1.103 ,-0.117 ,-0.014 , 0.080 , 0.030 ,-0.623 , 1.992 , 1.214 , 0.458 , 1.729 , 8.276
-0.820 ,-1.125 ,-1.432 ,-0.985 ,-0.976 ,-1.116 , 0.482 , 1.143 , 1.234 , 1.008 , 0.738 , 0.036 ,-0.016 ,-0.098 ,-0.011 , 0.158 , 1.209 , 0.869 , 0.283 , 0.796 , 2.041
 1.443 , 1.809 , 1.601 , 1.166 , 3.626 , 1.505 , 0.521 , 1.182 , 0.919 , 1.922 , 0.815 , 0.017 , 0.098 ,-0.008 , 0.234 , 0.015 , 0.888 , 0.355 , 1.063 , 0.012 , 0.902
 0.241 ,-0.276 , 0.377 ,-0.927 ,-0.751 ,-0.095 , 0.438 , 0.974 , 1.195 , 0.935 , 0.704 ,-0.023 , 0.044 ,-0.076 ,-0.017 ,-0.056 , 1.018 , 1.022 , 0.506 , 1.048 , 1.179
-0.011 , 0.006 , 2.275 , 0.229 ,-0.524 ,-0.802 , 0.443 , 1.888 , 0.978 , 1.060 , 0.718 ,-0.018 , 0.248 , 0.034 , 0.012 , 0.040 , 1.063 , 0.003 , 0.550 , 0.771 , 1.542
 1.178 , 2.671 , 3.580 , 2.380 , 2.448 , 1.477 , 0.782 , 1.922 , 1.913 , 1.915 , 0.901 , 0.088 , 0.231 , 0.240 , 0.241 , 0.097 , 0.283 , 0.013 , 0.008 , 0.008 , 0.262
-0.938 ,-0.637 , 0.074 , 0.368 ,-0.907 ,-1.594 , 0.463 , 0.961 , 0.961 , 1.151 , 0.850 ,-0.046 ,-0.028 , 0.034 ,-0.068 ,-0.072 , 0.713 , 0.609 , 0.647 , 0.584 , 0.546
 0.583 , 0.660 ,-0.051 , 0.195 , 0.283 , 1.547 , 0.460 , 0.985 , 0.976 , 0.972 , 0.837 ,-0.028 , 0.027 , 0.022 , 0.034 ,-0.165 , 1.364 , 1.468 , 0.614 , 1.216 , 2.146
 0.036 , 1.172 , 1.151 , 1.007 , 1.988 , 0.898 , 0.479 , 1.134 , 0.990 , 1.185 , 0.732 , 0.038 , 0.023 , 0.003 , 0.065 , 0.053 , 0.692 , 0.858 , 0.790 , 0.525 , 0.551
-1.897 ,-3.317 ,-2.760 ,-2.623 ,-1.651 ,-3.654 , 1.044 , 1.898 , 1.913 , 1.205 , 1.902 ,-0.068 ,-0.244 ,-0.240 ,-0.083 ,-0.151 , 0.283 , 0.005 , 0.009 , 0.364 , 0.010
 1.410 , 0.707 , 0.852 , 1.455 ,-0.701 , 1.043 , 0.447 , 0.961 , 1.129 , 0.973 , 0.740 ,-0.000 , 0.034 ,-0.056 ,-0.025 , 0.045 , 0.951 , 0.556 , 1.315 , 0.889 , 0.675
-0.068 ,-0.842 ,-0.741 ,-1.781 ,-0.330 ,-0.660 , 0.477 , 1.005 , 1.162 , 1.029 , 0.790 , 0.071 ,-0.039 ,-0.026 , 0.100 , 0.103 , 1.389 , 0.502 , 0.852 , 1.497 , 1.580
-0.699 ,-1.030 ,-3.588 ,-0.333 ,-0.575 ,-0.678 , 0.451 , 1.918 , 0.953 , 1.021 , 0.717 , 0.038 ,-0.229 ,-0.005 , 0.037 , 0.057 , 1.265 , 0.014 , 0.841 , 0.376 , 1.799
 2.912 , 1.719 , 0.923 , 2.723 , 2.026 , 1.405 , 0.580 , 1.127 , 1.926 , 1.229 , 0.823 ,-0.019 ,-0.013 , 0.236 ,-0.115 , 0.033 , 1.103 , 1.069 , 0.012 , 1.612 , 0.813
 0.974 , 0.729 , 0.523 , 0.716 , 3.186 ,-0.097 , 0.476 , 0.951 , 1.188 , 1.930 , 0.718 ,-0.065 , 0.007 , 0.013 , 0.231 ,-0.096 , 1.465 , 0.957 , 0.946 , 0.014 , 1.341
 0.415 , 0.607 , 0.693 , 1.254 ,-0.728 , 1.079 , 0.457 , 1.025 , 1.198 , 0.969 , 0.761 , 0.017 ,-0.074 ,-0.013 , 0.021 , 0.049 , 0.975 , 1.196 , 1.125 , 0.884 , 0.728
 1.734 , 2.148 , 2.708 , 1.865 , 2.392 , 1.571 , 0.644 , 1.891 , 1.167 , 1.911 , 0.859 ,-0.001 , 0.248 ,-0.032 , 0.238 ,-0.020 , 0.952 , 0.003 , 1.126 , 0.009 , 1.016
 2.625 , 1.886 ,-0.235 , 3.725 , 2.422 , 1.978 , 0.550 , 0.993 , 1.901 , 1.908 , 0.885 ,-0.157 ,-0.017 , 0.237 , 0.240 ,-0.397 , 2.363 , 0.678 , 0.009 , 0.008 , 4.685
-1.734 ,-2.366 ,-0.746 ,-2.233 ,-3.712 ,-2.837 , 0.575 , 0.973 , 1.286 , 1.894 , 1.082 ,-0.048 ,-0.040 ,-0.082 ,-0.246 ,-0.080 , 0.622 , 0.713 , 0.258 , 0.004 , 0.407
-1.427 ,-1.233 ,-2.029 ,-0.757 ,-2.985 ,-0.506 , 0.493 , 1.899 , 0.979 , 1.891 , 0.686 , 0.120 ,-0.244 ,-0.005 ,-0.246 , 0.217 , 2.053 , 0.006 , 0.837 , 0.004 , 2.405
 0.570 , 0.872 , 1.246 , 1.625 , 0.303 , 0.640 , 0.472 , 1.134 , 1.168 , 0.954 , 0.772 , 0.055 ,-0.024 , 0.087 , 0.022 , 0.118 , 0.865 , 1.134 , 0.419 , 0.702 , 1.090
 0.464 ,-0.086 , 2.002 ,-3.520 ,-0.370 , 0.585 , 0.431 , 1.894 , 1.926 , 0.954 , 0.722 ,-0.027 , 0.246 ,-0.230 , 0.010 , 0.035 , 1.052 , 0.004 , 0.014 , 1.289 , 0.698
 1.474 , 0.288 ,-0.785 , 1.519 ,-0.490 , 0.538 , 0.431 , 0.994 , 0.951 , 0.982 , 0.673 , 0.037 ,-0.030 , 0.024 ,-0.036 , 0.002 , 1.009 , 0.503 , 1.138 , 0.494 , 0.882
 0.182 ,-0.054 , 0.174 ,-1.313 , 0.726 , 0.059 , 0.439 , 0.941 , 1.151 , 1.139 , 0.728 ,-0.001 ,-0.072 ,-0.054 , 0.023 , 0.015 , 0.903 , 1.685 , 0.655 , 0.869 , 0.671
 1.945 , 0.798 , 2.698 , 3.713 ,-0.898 ,-0.122 , 0.443 , 1.905 , 1.902 , 0.957 , 0.674 , 0.001 , 0.240 , 0.243 ,-0.016 , 0.010 , 1.140 , 0.008 , 0.006 , 0.735 , 0.971
-1.229 ,-1.877 ,-1.911 ,-0.988 ,-3.163 ,-1.837 , 0.537 , 1.359 , 0.969 , 1.912 , 0.821 ,-0.035 ,-0.082 , 0.025 ,-0.236 ,-0.058 , 0.695 , 0.211 , 1.026 , 0.010 , 0.616
 1.208 , 0.815 , 0.899 , 1.849 , 1.761 , 0.050 , 0.470 , 1.163 , 1.246 , 1.177 , 0.672 , 0.046 , 0.087 , 0.075 , 0.020 ,-0.003 , 0.722 , 0.436 , 0.432 , 0.835 , 0.688
 0.020 , 0.089 , 1.135 ,-1.425 ,-0.395 , 0.537 , 0.431 , 1.172 , 1.187 , 0.987 , 0.682 ,-0.005 ,-0.129 , 0.028 ,-0.032 , 0.027 , 1.013 , 1.745 , 1.189 , 0.530 , 0.878
-0.502 ,-0.285 , 0.412 , 1.093 ,-3.112 ,-0.200 , 0.454 , 1.152 , 1.005 , 1.917 , 0.713 ,-0.037 , 0.087 , 0.031 ,-0.231 ,-0.075 , 0.843 , 0.460 , 0.505 , 0.013 , 0.843
 1.900 , 1.454 , 1.977 , 2.363 , 1.667 , 0.561 , 0.478 , 1.156 , 1.140 , 1.127 , 0.742 ,-0.033 , 0.046 , 0.048 , 0.047 ,-0.007 , 1.178 , 0.672 , 0.715 , 0.723 , 1.230
 2.172 , 1.646 , 1.907 , 1.744 , 0.004 , 2.580 , 0.525 , 1.194 , 1.144 , 0.990 , 1.089 ,-0.106 , 0.100 ,-0.124 ,-0.020 ,-0.196 , 1.663 , 0.331 , 1.721 , 1.219 , 2.516
 2.853 , 2.641 , 2.391 , 1.358 , 2.994 , 2.661 , 0.757 , 1.901 , 1.134 , 1.891 , 1.096 , 0.035 , 0.243 , 0.026 , 0.247 , 0.069 , 0.692 , 0.006 , 0.849 , 0.004 , 0.460
-0.220 ,-0.178 , 0.423 ,-1.458 , 0.064 ,-0.026 , 0.432 , 1.016 , 1.166 , 0.925 , 0.691 ,-0.010 , 0.027 ,-0.084 ,-0.032 ,-0.030 , 1.118 , 0.587 , 0.466 , 1.221 , 1.558
 1.546 , 1.529 , 3.058 , 0.549 , 4.002 , 0.378 , 0.550 , 1.922 , 0.955 , 1.949 , 0.725 ,-0.069 , 0.235 ,-0.044 , 0.217 , 0.001 , 1.599 , 0.011 , 1.428 , 0.022 , 0.898
 2.307 , 2.898 , 3.128 , 1.378 , 2.682 , 3.019 , 0.761 , 1.917 , 1.164 , 1.917 , 1.090 ,-0.065 , 0.231 , 0.067 , 0.236 ,-0.227 , 1.420 , 0.013 , 0.567 , 0.011 , 2.816
 1.193 , 1.786 , 1.511 , 0.540 , 1.808 , 2.550 , 0.575 , 1.196 , 1.142 , 1.141 , 1.096 ,-0.046 ,-0.142 , 0.030 , 0.053 ,-0.002 , 1.259 , 1.781 , 0.815 , 0.673 , 0.906
-1.940 ,-1.960 ,-2.178 ,-2.526 ,-1.762 ,-1.619 , 0.541 , 1.168 , 1.889 , 1.143 , 0.788 ,-0.056 , 0.079 ,-0.250 ,-0.072 ,-0.059 , 0.577 , 1.418 , 0.002 , 0.569 , 0.407
-1.138 ,-1.618 ,-2.451 ,-1.759 ,-2.183 ,-0.922 , 0.501 , 1.223 , 1.148 , 1.196 , 0.707 , 0.015 ,-0.094 ,-0.009 ,-0.042 , 0.017 , 1.052 , 0.314 , 0.927 , 0.683 , 1.076
-0.783 ,-0.034 , 0.904 , 0.003 ,-0.009 ,-0.451 , 0.446 , 1.052 , 1.028 , 1.009 , 0.685 , 0.004 ,-0.232 , 0.028 ,-0.024 , 0.017 , 1.143 , 2.361 , 0.482 , 1.284 , 1.010
 0.368 ,-0.132 ,-0.769 , 0.508 ,-0.364 , 0.012 , 0.459 , 0.981 , 1.013 , 1.099 , 0.708 ,-0.002 ,-0.048 , 0.006 ,-0.032 , 0.020 , 0.730 , 0.801 , 0.756 , 0.367 , 0.622
 1.409 , 2.031 , 0.229 , 2.312 , 3.289 , 2.233 , 0.631 , 0.943 , 1.902 , 1.902 , 1.073 , 0.004 ,-0.002 , 0.243 , 0.243 , 0.052 , 0.954 , 0.890 , 0.006 , 0.006 , 0.604
 1.277 , 1.154 , 1.805 , 1.715 , 2.503 , 0.040 , 0.474 , 1.176 , 1.164 , 1.268 , 0.768 , 0.041 , 0.070 , 0.087 , 0.081 , 0.061 , 0.702 , 0.507 , 0.443 , 0.334 , 0.992
 1.734 , 1.761 , 0.272 , 1.311 , 2.809 , 2.535 , 0.567 , 0.947 , 1.172 , 1.930 , 1.079 ,-0.055 , 0.028 , 0.084 , 0.233 ,-0.324 , 1.381 , 0.801 , 0.439 , 0.013 , 3.953
 1.672 , 1.505 , 1.596 , 2.129 , 0.400 , 1.673 , 0.511 , 1.195 , 1.161 , 1.101 , 0.861 ,-0.007 , 0.058 , 0.092 ,-0.055 , 0.064 , 1.038 , 0.648 , 0.418 , 1.402 , 0.617
 1.742 , 1.552 , 0.015 , 3.061 , 0.489 , 2.253 , 0.524 , 0.944 , 1.938 , 1.093 , 0.849 , 0.007 , 0.018 , 0.234 , 0.032 , 0.008 , 0.979 , 0.835 , 0.013 , 0.377 , 0.928
 0.659 , 0.452 , 3.187 ,-1.422 ,-0.046 , 0.421 , 0.431 , 1.893 , 1.198 , 0.950 , 0.708 , 0.006 , 0.248 ,-0.095 ,-0.016 , 0.008 , 0.756 , 0.003 , 0.347 , 0.841 , 0.516
 0.063 ,-0.018 , 0.753 , 0.523 ,-0.350 ,-0.550 , 0.434 , 0.949 , 0.981 , 0.954 , 0.689 ,-0.052 , 0.032 , 0.034 ,-0.026 ,-0.042 , 1.029 , 0.559 , 0.493 , 1.075 , 1.133
-1.088 ,-1.627 ,-1.492 ,-1.959 ,-2.370 ,-1.006 , 0.582 , 1.234 , 1.175 , 1.898 , 0.836 , 0.081 ,-0.087 ,-0.071 ,-0.245 , 0.164 , 1.589 , 0.323 , 0.509 , 0.005 , 2.049
-0.149 , 0.175 ,-0.548 , 0.437 , 1.290 ,-0.078 , 0.432 , 0.976 , 1.009 , 1.150 , 0.678 , 0.011 ,-0.044 , 0.045 , 0.078 , 0.014 , 0.905 , 0.975 , 1.137 , 0.515 , 0.742
 1.717 , 2.307 , 2.573 , 0.500 , 1.673 , 4.137 , 0.641 , 1.925 , 0.947 , 1.171 , 1.879 ,-0.054 , 0.239 , 0.033 ,-0.186 , 0.163 , 1.354 , 0.010 , 0.770 , 2.126 , 0.005
-1.013 ,-1.651 ,-2.418 ,-0.306 ,-2.930 ,-1.389 , 0.539 , 1.172 , 0.941 , 1.915 , 0.877 , 0.008 , 0.069 ,-0.007 ,-0.235 ,-0.061 , 1.052 , 1.426 , 1.134 , 0.011 , 0.572
 0.739 , 0.450 , 0.021 , 1.249 , 0.260 , 0.362 , 0.449 , 1.030 , 1.130 , 1.006 , 0.710 ,-0.025 ,-0.042 ,-0.028 , 0.004 ,-0.045 , 0.937 , 0.558 , 1.163 , 0.830 , 1.101
-0.581 ,-0.936 ,-1.386 ,-1.775 , 0.051 ,-0.842 , 0.455 , 1.164 , 1.148 , 0.961 , 0.682 , 0.012 ,-0.072 ,-0.072 , 0.014 ,-0.002 , 1.058 , 0.547 , 0.542 , 1.201 , 1.027
 1.240 , 1.544 , 3.268 , 0.454 , 1.381 , 1.492 , 0.532 , 1.922 , 0.970 , 1.165 , 0.861 , 0.058 , 0.236 , 0.034 , 0.073 , 0.052 , 0.628 , 0.011 , 0.522 , 0.490 , 0.649
 0.935 , 1.057 , 0.578 , 0.618 , 0.637 , 1.687 , 0.506 , 1.181 , 1.165 , 0.968 , 0.840 ,-0.047 ,-0.237 , 0.081 , 0.006 , 0.031 , 1.328 , 2.469 , 0.473 , 0.806 , 0.753
-0.954 ,-1.052 ,-0.707 ,-0.583 ,-3.246 ,-0.686 , 0.469 , 0.979 , 0.934 , 1.933 , 0.714 ,-0.023 ,-0.023 , 0.007 ,-0.229 ,-0.042 , 0.902 , 0.793 , 1.133 , 0.015 , 0.715
 0.785 , 0.631 , 1.388 , 1.935 , 0.974 ,-0.421 , 0.455 , 1.163 , 1.230 , 1.130 , 0.722 , 0.003 , 0.039 , 0.100 , 0.017 , 0.068 , 1.001 , 0.766 , 0.283 , 0.894 , 1.405
 1.884 , 2.509 , 1.347 , 2.759 , 2.904 , 2.264 , 0.750 , 1.156 , 1.903 , 1.887 , 1.086 ,-0.012 , 0.005 , 0.244 , 0.250 ,-0.011 , 1.021 , 0.979 , 0.006 , 0.001 , 0.995
 2.722 , 3.651 , 2.873 , 2.256 , 2.369 , 4.081 , 1.043 , 1.887 , 1.188 , 1.898 , 1.881 , 0.076 , 0.248 , 0.087 , 0.243 , 0.155 , 0.239 , 0.003 , 0.389 , 0.006 , 0.008
 0.575 ,-0.131 , 0.994 ,-1.180 ,-1.753 , 0.731 , 0.435 , 1.212 , 1.144 , 1.133 , 0.702 , 0.055 ,-0.026 , 0.279 , 0.039 , 0.041 , 1.285 , 1.203 , 2.756 , 1.217 , 0.850
-1.873 ,-1.554 ,-1.232 ,-0.598 ,-3.137 ,-1.643 , 0.495 , 0.965 , 0.977 , 1.906 , 0.848 , 0.207 ,-0.034 , 0.452 ,-0.241 , 0.125 , 2.810 , 0.752 , 3.962 , 0.007 , 1.850
 1.353 , 1.519 , 0.210 , 2.079 , 1.963 , 1.726 , 0.497 , 0.998 , 1.150 , 1.251 , 0.814 , 0.023 , 0.031 , 0.070 , 0.098 ,-0.034 , 0.795 , 0.500 , 0.535 , 0.266 , 1.198
 1.728 , 2.373 , 3.381 , 2.026 , 1.025 , 3.088 , 0.651 , 1.910 , 1.148 , 1.040 , 1.867 ,-0.016 , 0.244 ,-0.273 , 0.026 , 0.163 , 1.071 , 0.006 , 2.697 , 0.573 , 0.005
 1.913 , 1.355 , 0.381 , 0.323 , 0.446 , 3.971 , 0.522 , 1.014 , 1.132 , 1.040 , 1.905 ,-0.051 , 0.034 ,-0.002 , 0.046 , 0.157 , 1.446 , 0.853 , 1.108 , 2.115 , 0.008
-0.124 , 0.079 ,-0.054 ,-1.016 , 1.704 ,-0.026 , 0.447 , 0.988 , 0.963 , 1.167 , 0.720 ,-0.023 , 0.032 , 0.085 ,-0.358 ,-0.059 , 1.264 , 0.575 , 1.435 , 3.307 , 1.048
 0.637 , 0.536 , 1.369 , 0.348 ,-0.478 , 0.835 , 0.462 , 1.143 , 1.001 , 0.991 , 0.787 ,-0.018 , 0.009 , 0.013 ,-0.009 ,-0.155 , 1.564 , 0.948 , 0.614 , 0.767 , 2.942
-0.387 ,-0.740 ,-2.672 ,-0.183 ,-0.499 ,-0.424 , 0.464 , 1.913 , 1.004 , 1.123 , 0.700 ,-0.037 ,-0.239 , 0.028 ,-0.106 ,-0.048 , 0.967 , 0.009 , 0.561 , 1.751 , 1.029
 1.737 , 1.251 , 0.239 , 0.437 , 2.952 , 1.548 , 0.501 , 0.964 , 1.026 , 1.893 , 0.863 ,-0.102 , 0.028 ,-0.305 , 0.244 , 0.013 , 1.819 , 0.944 , 2.728 , 0.005 , 0.935
 2.095 , 2.190 , 0.382 , 2.913 , 2.913 , 2.508 , 0.633 , 0.967 , 1.910 , 1.928 , 1.072 ,-0.019 ,-0.003 , 0.238 , 0.229 ,-0.012 , 1.076 , 0.930 , 0.009 , 0.015 , 0.995
 2.764 , 2.530 , 3.644 , 2.956 , 3.152 , 1.231 , 0.654 , 1.943 , 1.893 , 1.906 , 0.774 ,-0.002 , 0.222 , 0.246 , 0.241 , 0.034 , 0.931 , 0.019 , 0.004 , 0.008 , 0.883
 0.026 , 1.220 , 1.858 , 1.002 , 1.158 , 1.055 , 0.499 , 1.211 , 1.233 , 1.176 , 0.711 , 0.068 , 0.032 , 0.104 , 0.093 , 0.036 , 0.617 , 0.849 , 0.264 , 0.394 , 0.760
 2.289 , 1.805 , 1.765 , 1.005 , 2.986 , 1.562 , 0.562 , 1.152 , 1.185 , 1.894 , 0.813 ,-0.045 ,-0.021 ,-0.114 , 0.246 , 0.026 , 1.289 , 1.122 , 1.629 , 0.005 , 0.819
-1.797 ,-2.098 ,-3.057 ,-3.104 ,-2.782 ,-0.810 , 0.642 , 1.964 , 1.950 , 1.900 , 0.712 , 0.007 ,-0.228 ,-0.232 ,-0.245 ,-0.008 , 1.033 , 0.018 , 0.015 , 0.005 , 0.887
 0.700 , 0.734 , 0.420 , 1.146 , 0.189 , 1.023 , 0.449 , 0.946 , 1.162 , 0.948 , 0.725 , 0.020 , 0.031 ,-0.030 , 0.022 , 0.019 , 0.820 , 0.701 , 1.131 , 0.741 , 0.801
-1.035 ,-0.838 ,-2.346 ,-0.964 ,-2.265 , 0.188 , 0.468 , 1.941 , 0.973 , 1.900 , 0.703 ,-0.034 ,-0.234 ,-0.023 ,-0.243 ,-0.064 , 0.787 , 0.013 , 0.646 , 0.006 , 1.257
-0.647 , 0.155 , 0.638 ,-1.494 , 1.534 , 0.050 , 0.426 , 0.971 , 1.152 , 1.149 , 0.678 ,-0.017 , 0.032 , 0.175 , 0.062 ,-0.010 , 1.225 , 0.515 , 2.037 , 0.617 , 1.550
-0.392 ,-0.180 ,-0.746 , 0.868 , 0.605 ,-0.697 , 0.444 , 0.956 , 1.218 , 1.148 , 0.767 , 0.011 , 0.076 , 0.097 , 0.084 ,-0.056 , 0.615 , 1.362 , 0.309 , 0.485 , 0.454
 1.781 , 0.848 , 1.694 ,-1.062 , 1.555 , 1.314 , 0.486 , 1.199 , 0.957 , 1.231 , 0.844 ,-0.029 , 0.064 , 0.008 , 0.096 , 0.045 , 1.153 , 0.604 , 1.261 , 0.287 , 0.681
 0.299 , 0.025 , 0.193 ,-0.129 , 1.100 ,-0.527 , 0.448 , 0.981 , 1.081 , 1.135 , 0.701 ,-0.035 ,-0.002 , 0.021 , 0.054 ,-0.059 , 0.999 , 0.746 , 0.529 , 0.673 , 1.169
 1.455 , 2.268 , 2.880 , 2.631 , 0.863 , 2.612 , 0.587 , 1.918 , 1.175 , 1.016 , 1.101 , 0.029 , 0.238 , 0.076 ,-0.028 , 0.088 , 0.751 , 0.010 , 0.440 , 0.913 , 0.354
 0.115 ,-0.204 , 0.344 ,-2.513 , 0.391 , 0.204 , 0.449 , 0.994 , 1.889 , 1.035 , 0.717 , 0.038 , 0.067 ,-0.249 , 0.038 , 0.034 , 0.936 , 1.713 , 0.003 , 0.353 , 0.625
 1.749 , 1.724 , 1.078 , 1.839 , 2.245 , 1.799 , 0.529 , 0.943 , 1.172 , 1.903 , 0.842 , 0.020 ,-0.111 , 0.055 , 0.240 , 0.083 , 0.827 , 1.717 , 0.615 , 0.008 , 0.419
 0.129 ,-0.031 , 0.323 ,-0.052 ,-1.602 , 0.627 , 0.431 , 0.991 , 1.006 , 1.131 , 0.732 , 0.013 , 0.030 , 0.008 , 0.034 , 0.055 , 1.038 , 0.763 , 1.869 , 1.197 , 0.596
 0.797 , 0.551 , 0.515 , 0.567 ,-0.706 , 1.142 , 0.461 , 1.019 , 1.231 , 1.026 , 0.721 , 0.014 , 0.019 ,-0.015 ,-0.029 , 0.054 , 0.780 , 0.568 , 1.160 , 0.496 , 0.626
-1.484 ,-0.904 ,-1.290 ,-2.805 , 0.338 ,-0.515 , 0.475 , 0.978 , 1.889 , 1.003 , 0.780 ,-0.011 ,-0.035 ,-0.246 , 0.037 ,-0.002 , 0.746 , 0.490 , 0.004 , 0.440 , 0.787
-1.274 ,-0.759 ,-1.026 ,-1.666 ,-0.871 ,-0.228 , 0.429 , 1.013 , 1.162 , 0.924 , 0.655 ,-0.007 , 0.006 , 0.078 , 0.012 ,-0.004 , 0.939 , 0.757 , 1.440 , 1.185 , 0.758
 0.914 , 0.301 , 1.249 ,-0.899 , 0.484 , 0.534 , 0.447 , 1.214 , 0.929 , 0.936 , 0.744 , 0.009 , 0.052 ,-0.005 , 0.026 ,-0.024 , 0.963 , 0.698 , 0.919 , 0.705 , 1.021
-0.752 ,-0.346 , 0.298 , 1.445 ,-1.278 ,-1.045 , 0.439 , 0.950 , 1.050 , 1.137 , 0.728 , 0.039 ,-0.000 ,-0.105 ,-0.054 ,-0.046 , 1.246 , 0.866 , 1.636 , 0.683 , 0.728
-1.990 ,-1.449 ,-1.959 ,-1.269 ,-0.306 ,-1.994 , 0.474 , 1.256 , 0.942 , 0.943 , 0.815 , 0.051 ,-0.087 , 0.034 , 0.072 ,-0.046 , 1.333 , 0.285 , 1.514 , 1.592 , 0.720
 1.815 , 1.356 , 3.111 , 0.503 , 0.283 , 1.673 , 0.493 , 1.900 , 0.953 , 1.010 , 0.829 ,-0.005 , 0.242 ,-0.022 ,-0.014 , 0.074 , 0.981 , 0.006 , 1.042 , 0.942 , 0.513
-0.142 ,-0.652 ,-1.462 , 1.156 ,-2.164 ,-0.531 , 0.447 , 1.149 , 1.163 , 1.258 , 0.723 ,-0.038 ,-0.079 , 0.076 , 0.028 ,-0.008 , 1.000 , 0.513 , 0.517 , 1.287 , 0.870
 0.695 , 0.396 , 0.817 ,-0.705 , 1.463 , 0.207 , 0.442 , 0.969 , 1.132 , 1.160 , 0.740 ,-0.056 , 0.039 ,-0.001 ,-0.118 ,-0.115 , 1.264 , 0.673 , 0.995 , 1.687 , 1.571
 1.693 , 1.285 , 2.076 , 0.612 , 2.968 , 0.610 , 0.531 , 1.889 , 0.951 , 1.935 , 0.754 ,-0.023 , 0.250 ,-0.048 , 0.233 , 0.018 , 1.166 , 0.002 , 1.649 , 0.013 , 1.031
-0.293 ,-0.163 ,-0.054 , 0.145 , 0.033 ,-0.433 , 0.431 , 0.933 , 1.087 , 0.947 , 0.666 ,-0.013 , 0.000 , 0.012 ,-0.047 ,-0.051 , 1.505 , 1.143 , 1.960 , 1.585 , 1.288
-1.066 ,-0.779 ,-1.883 ,-0.090 ,-1.686 ,-0.252 , 0.449 , 1.161 , 0.956 , 1.204 , 0.744 ,-0.039 ,-0.041 , 0.002 ,-0.057 ,-0.026 , 0.739 , 0.744 , 0.798 , 0.656 , 0.659
 0.414 , 0.741 , 1.634 , 0.534 , 1.145 , 0.316 , 0.463 , 1.200 , 1.068 , 1.154 , 0.678 , 0.043 , 0.072 , 0.036 , 0.089 , 0.029 , 0.700 , 0.546 , 0.349 , 0.446 , 0.946
 1.573 , 1.382 , 1.032 , 2.796 , 0.871 , 1.315 , 0.490 , 0.963 , 1.907 , 0.958 , 0.818 ,-0.007 , 0.032 , 0.244 ,-0.201 , 0.081 , 1.043 , 0.561 , 0.006 , 2.295 , 0.490
 1.100 , 1.014 , 0.585 , 1.199 , 1.464 , 0.884 , 0.431 , 0.922 , 0.945 , 0.932 , 0.701 ,-0.016 ,-0.025 , 0.032 ,-0.007 ,-0.007 , 1.149 , 1.249 , 0.764 , 1.020 , 1.190
 0.764 , 0.681 , 0.131 , 0.135 , 1.363 , 0.906 , 0.465 , 1.022 , 1.009 , 1.143 , 0.758 ,-0.055 , 0.038 ,-0.169 , 0.029 ,-0.093 , 1.487 , 0.469 , 1.819 , 0.833 , 1.864
 1.000 , 0.504 , 1.577 , 0.943 , 1.199 ,-0.464 , 0.448 , 1.277 , 0.924 , 1.188 , 0.730 ,-0.023 ,-0.368 ,-0.019 , 0.093 , 0.074 , 1.434 , 3.619 , 1.163 , 0.368 , 1.548
 1.908 , 2.427 , 0.882 , 2.371 , 2.709 , 2.830 , 0.653 , 1.227 , 1.143 , 1.930 , 1.127 , 0.023 , 0.086 , 0.061 , 0.230 ,-0.061 , 0.772 , 0.361 , 0.634 , 0.014 , 1.350
 0.384 , 0.058 , 0.838 , 1.169 ,-0.397 ,-0.629 , 0.430 , 1.003 , 1.137 , 0.925 , 0.713 ,-0.021 , 0.020 ,-0.155 , 0.005 ,-0.037 , 0.909 , 0.552 , 1.920 , 0.964 , 0.677
